ai_id,move_count,heuristics_empty_cells_count,heuristics_neighbour_difference,highest_tile,heuristics_highest_tile_in_corner,heuristics_monotonous_row,best_move,score,heuristics_combineable_cells_count,coefficient_0_act,coefficient_1_ndh,coefficient_2_ecc,coefficient_3_htic,coefficient_4_morow
20171018_013556,111,0.33,0.2,128,0.0,1,2,1148,0.0,-1,3,-1,3,-1
20171018_013556,112,0.33,0.17,128,0.0,1,2,1152,0.0,-1,3,-1,3,-1
20171018_013556,113,0.4,0.2,128,0.0,1,0,1152,0.0,-1,3,-1,3,-1
20171018_013556,114,0.53,0.32,128,0.0,1,2,1156,0.0,-1,3,-1,3,-1
20171018_013556,115,0.53,0.32,128,0.0,1,0,1180,0.0,-1,3,-1,3,-1
20171018_013556,116,0.47,0.37,128,0.0,1,2,1236,0.0,-1,3,-1,3,-1
20171018_013556,117,0.47,0.32,128,0.0,1,2,1240,0.0,-1,3,-1,3,-1
20171018_013556,118,0.47,0.29,128,0.0,1,0,1240,0.0,-1,3,-1,3,-1
20171018_013556,119,0.4,0.29,128,0.0,1,2,1244,0.0,-1,3,-1,3,-1
20171018_013556,120,0.4,0.22,128,0.0,1,0,1248,0.14,-1,3,-1,3,-1
20171018_013556,121,0.4,0.27,128,0.0,1,2,1248,0.14,-1,3,-1,3,-1
20171018_013556,122,0.33,0.24,128,0.0,0,1,1252,0.0,-1,3,-1,3,-1
20171018_013556,123,0.33,0.2,128,0.0,1,1,1260,0.0,-1,3,-1,3,-1
20171018_013556,124,0.4,0.29,128,0.0,1,2,1260,0.14,-1,3,-1,3,-1
20171018_013556,125,0.33,0.24,128,0.0,1,0,1264,0.0,-1,3,-1,3,-1
20171018_013556,126,0.47,0.29,128,0.0,1,2,1288,0.14,-1,3,-1,3,-1
20171018_013556,127,0.47,0.37,128,0.0,1,2,1288,0.0,-1,3,-1,3,-1
20171018_013556,128,0.4,0.39,128,0.0,1,0,1328,0.0,-1,3,-1,3,-1
20171018_013556,129,0.4,0.22,128,0.0,1,3,1336,0.0,-1,3,-1,3,-1
20171018_013556,130,0.4,0.32,128,0.0,1,0,1336,0.0,-1,3,-1,3,-1
20171018_013556,131,0.4,0.22,128,0.0,0,2,1340,0.0,-1,3,-1,3,-1
20171018_013556,132,0.47,0.15,128,0.0,1,0,1404,0.0,-1,3,-1,3,-1
20171018_013556,133,0.4,0.2,128,0.0,1,0,1408,0.0,-1,3,-1,3,-1
20171018_013556,134,0.53,0.24,256,0.0,1,2,1544,0.0,-1,3,-1,3,-1
20171018_013556,135,0.6,0.17,256,0.0,1,0,1544,0.14,-1,3,-1,3,-1
20171018_013556,136,0.67,0.1,256,0.0,1,0,1820,0.14,-1,3,-1,3,-1
20171018_013556,137,0.67,0.2,256,0.0,1,0,1832,0.0,-1,3,-1,3,-1
20171018_013556,138,0.6,0.24,256,0.0,1,0,1852,0.0,-1,3,-1,3,-1
20171018_013556,139,0.67,0.22,256,0.0,1,2,1860,0.0,-1,3,-1,3,-1
20171018_013556,140,0.67,0.24,256,0.0,1,0,1860,0.0,-1,3,-1,3,-1
20171018_013556,141,0.67,0.37,256,0.0,1,2,1896,0.0,-1,3,-1,3,-1
20171018_013556,142,0.6,0.34,256,0.0,1,0,1904,0.0,-1,3,-1,3,-1
20171018_013556,143,0.6,0.37,256,0.0,1,2,1920,0.0,-1,3,-1,3,-1
20171018_013556,144,0.53,0.34,256,0.0,1,0,1920,0.0,-1,3,-1,3,-1
20171018_013556,145,0.53,0.22,256,0.0,1,2,1924,0.0,-1,3,-1,3,-1
20171018_013556,146,0.47,0.29,256,0.0,1,3,1924,0.0,-1,3,-1,3,-1
20171018_013556,147,0.4,0.27,256,0.0,1,3,1928,0.0,-1,3,-1,3,-1
20171018_013556,148,0.4,0.24,256,0.0,1,0,1928,0.14,-1,3,-1,3,-1
20171018_013556,149,0.4,0.29,256,0.0,1,3,1928,0.0,-1,3,-1,3,-1
20171018_013556,150,0.4,0.32,256,0.0,1,0,1932,0.14,-1,3,-1,3,-1
20171018_013556,151,0.4,0.22,256,0.0,1,2,1940,0.0,-1,3,-1,3,-1
20171018_013556,152,0.47,0.27,256,0.0,1,0,1944,0.14,-1,3,-1,3,-1
20171018_013556,153,0.53,0.29,256,0.0,1,0,1952,0.14,-1,3,-1,3,-1
20171018_013556,154,0.47,0.24,256,0.0,1,3,1976,0.0,-1,3,-1,3,-1
20171018_013556,155,0.47,0.32,256,0.0,1,0,2012,0.0,-1,3,-1,3,-1
20171018_013556,156,0.47,0.15,256,0.0,1,3,2012,0.14,-1,3,-1,3,-1
20171018_013556,157,0.53,0.17,256,0.0,1,0,2076,0.29,-1,3,-1,3,-1
20171018_013556,158,0.6,0.24,256,0.0,1,0,2080,0.0,-1,3,-1,3,-1
20171018_013556,159,0.6,0.29,256,0.0,1,3,2092,0.0,-1,3,-1,3,-1
20171018_013556,160,0.53,0.24,256,0.0,1,2,2116,0.0,-1,3,-1,3,-1
20171018_013556,161,0.53,0.24,256,0.0,1,0,2120,0.14,-1,3,-1,3,-1
20171018_013556,162,0.53,0.22,256,0.0,1,3,2120,0.14,-1,3,-1,3,-1
20171018_013556,163,0.53,0.22,256,0.0,1,0,2124,0.0,-1,3,-1,3,-1
20171018_013556,164,0.53,0.32,256,0.0,1,2,2128,0.0,-1,3,-1,3,-1
20171018_013556,165,0.53,0.27,256,0.0,1,2,2136,0.0,-1,3,-1,3,-1
20171018_013556,166,0.47,0.29,256,0.0,1,2,2152,0.0,-1,3,-1,3,-1
20171018_013556,167,0.47,0.27,256,0.0,1,2,2156,0.14,-1,3,-1,3,-1
20171018_013556,168,0.47,0.2,256,0.0,1,3,2156,0.0,-1,3,-1,3,-1
20171018_013556,169,0.53,0.15,256,0.0,1,0,2160,0.14,-1,3,-1,3,-1
20171018_013556,170,0.53,0.2,256,0.0,1,3,2168,0.0,-1,3,-1,3,-1
20171018_013556,171,0.47,0.22,256,0.0,1,3,2208,0.0,-1,3,-1,3,-1
20171018_013556,172,0.47,0.2,256,0.0,1,3,2212,0.0,-1,3,-1,3,-1
20171018_013556,173,0.4,0.17,256,0.0,1,3,2212,0.0,-1,3,-1,3,-1
20171018_013556,174,0.4,0.17,256,0.0,1,3,2220,0.0,-1,3,-1,3,-1
20171018_013556,175,0.4,0.15,256,0.0,1,3,2220,0.0,-1,3,-1,3,-1
20171018_013556,176,0.47,0.32,256,0.0,1,0,2224,0.0,-1,3,-1,3,-1
20171018_013556,177,0.4,0.24,256,0.0,1,2,2228,0.0,-1,3,-1,3,-1
20171018_013556,178,0.33,0.24,256,0.0,1,2,2252,0.0,-1,3,-1,3,-1
20171018_013556,179,0.33,0.27,256,0.0,1,2,2252,0.0,-1,3,-1,3,-1
20171018_013556,180,0.4,0.24,256,0.0,1,0,2252,0.14,-1,3,-1,3,-1
20171018_013556,181,0.4,0.24,256,0.0,1,3,2256,0.14,-1,3,-1,3,-1
20171018_013556,182,0.4,0.27,256,0.0,1,0,2264,0.0,-1,3,-1,3,-1
20171018_013556,183,0.4,0.22,256,0.0,1,0,2272,0.14,-1,3,-1,3,-1
20171018_013556,184,0.47,0.22,256,0.0,1,2,2288,0.0,-1,3,-1,3,-1
20171018_013556,185,0.47,0.32,256,0.0,1,0,2292,0.0,-1,3,-1,3,-1
20171018_013556,186,0.4,0.27,256,0.0,1,3,2328,0.0,-1,3,-1,3,-1
20171018_013556,187,0.33,0.2,256,0.0,1,2,2336,0.0,-1,3,-1,3,-1
20171018_013556,188,0.4,0.2,256,0.0,1,0,2336,0.0,-1,3,-1,3,-1
20171018_013556,189,0.53,0.12,256,0.0,1,2,2336,0.0,-1,3,-1,3,-1
20171018_013556,190,0.47,0.2,256,0.0,1,3,2416,0.0,-1,3,-1,3,-1
20171018_013556,191,0.4,0.17,256,0.0,1,2,2552,0.0,-1,3,-1,3,-1
